Post_ID,Post_Date,Post_Time,Post_Time_Slot,Platform,Content_Type,Campaign,Is_Boosted,Has_Link,Hashtags_Count,Video_Duration_Sec,Image_Count,Caption_Length,Production_Cost,Promotion_Budget,Reach,Frequency,Impressions,Likes,Comments,Shares,Saves,Link_Clicks,Followers_Gained
POST_0001,3/1/2025,13:29,Midday,TikTok,Image,Spring Launch,No,No,8,0,1,123,73,0,13120,1.02,13360,247,30,70,6,0,31
POST_0002,3/2/2025,6:43,Morning,Instagram,Carousel,Spring Launch,No,No,11,0,4,266,97,0,6812,1,6812,307,52,59,40,0,17
POST_0003,3/2/2025,21:35,Evening,TikTok,Image,Spring Launch,Yes,Yes,4,0,1,184,72,346,93539,1.3,121949,6903,1147,1707,198,2815,130
POST_0004,3/3/2025,16:51,Afternoon,Twitter/X,Carousel,Spring Launch,No,No,2,0,8,176,192,0,7487,1.01,7591,20,6,8,0,0,5
POST_0005,3/4/2025,17:26,Afternoon,Instagram,Image,Spring Launch,No,No,8,0,1,127,183,0,2367,1.21,2860,176,28,39,20,0,11
POST_0006,3/4/2025,22:07,Evening,Twitter/X,Text,Spring Launch,No,No,2,0,1,164,44,0,10023,1.11,11123,205,70,81,0,0,9
POST_0007,3/7/2025,7:24,Morning,Twitter/X,Image,Spring Launch,No,Yes,4,0,1,104,118,0,7591,1.15,8757,140,50,69,0,127,11
POST_0008,3/7/2025,14:23,Midday,TikTok,Video,Spring Launch,No,No,7,60,1,157,167,0,13697,1.01,13834,1458,185,313,38,0,6
POST_0009,3/10/2025,6:28,Morning,Twitter/X,Text,Spring Launch,Yes,No,4,0,1,374,60,486,14425,1.69,24436,581,177,270,0,0,1
POST_0010,3/10/2025,12:15,Midday,Facebook,Text,Spring Launch,No,Yes,6,0,1,460,72,0,43162,1.03,44315,180,48,64,18,591,2
POST_0011,3/10/2025,15:27,Afternoon,Instagram,Carousel,Spring Launch,Yes,No,7,0,7,123,162,358,31202,1.95,60828,2493,442,622,288,0,42
POST_0012,3/11/2025,12:21,Midday,Instagram,Carousel,Spring Launch,Yes,No,15,0,8,165,284,298,20840,1.54,32022,1530,240,355,177,0,6
POST_0013,3/11/2025,19:34,Evening,Instagram,Image,Spring Launch,No,Yes,8,0,1,86,116,0,19020,1.48,28238,1119,183,278,128,694,17
POST_0014,3/12/2025,22:43,Evening,Twitter/X,Image,Spring Launch,No,Yes,4,0,1,168,109,0,12564,1.07,13445,279,86,133,0,255,8
POST_0015,3/15/2025,12:36,Midday,Facebook,Text,Spring Launch,No,No,6,0,1,308,59,0,11982,1.06,12751,97,23,34,7,0,2
POST_0016,3/17/2025,13:02,Midday,Instagram,Image,Spring Launch,No,Yes,14,0,1,210,76,0,13721,1.16,15958,422,87,87,61,326,13
POST_0017,3/18/2025,16:07,Afternoon,Facebook,Image,Spring Launch,No,Yes,3,0,1,129,98,0,12866,1,12866,164,36,57,11,271,6
POST_0018,3/19/2025,22:03,Evening,TikTok,Image,Spring Launch,No,Yes,3,0,1,169,115,0,81163,1.21,98366,972,149,297,28,2454,117
POST_0019,3/21/2025,14:28,Midday,TikTok,Image,Spring Launch,No,No,6,0,1,184,160,0,4127,1.41,5829,163,21,38,4,0,3
POST_0020,3/23/2025,18:57,Afternoon,TikTok,Video,Spring Launch,No,No,4,23,1,179,331,0,38320,1.08,41471,2935,481,711,93,0,98
POST_0021,3/24/2025,11:43,Midday,Facebook,Text,Spring Launch,No,Yes,4,0,1,158,62,0,9821,1.03,10085,77,18,21,5,127,6
